تناوب,دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (میلیارد ریال),سهم از کل صنعت ٪
ماهانه,1399-04,تیر 1399,سبدگردان آگاه,مختلط,153.5,0.005
ماهانه,1399-04,تیر 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,25.1,0.001
ماهانه,1399-04,تیر 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1868.3,0.058
ماهانه,1399-04,تیر 1399,سبدگردان توسعه فیروزه,سهامی,1685.4,0.052
ماهانه,1399-04,تیر 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,4059.0,0.126
ماهانه,1399-04,تیر 1399,سبدگردان فارابی,اختصاصی بازارگردانی,581.0,0.018
ماهانه,1399-04,تیر 1399,سبدگردان فارابی,درآمد ثابت,4774.4,0.148
ماهانه,1399-04,تیر 1399,سبدگردان فارابی,سهامی,10286.8,0.318
ماهانه,1399-04,تیر 1399,سبدگردان مفید,اختصاصی بازارگردانی,1774.8,0.055
ماهانه,1399-04,تیر 1399,سبدگردان مفید,درآمد ثابت,86846.3,2.686
ماهانه,1399-04,تیر 1399,سبدگردان مفید,سهامی,102120.2,3.158
ماهانه,1399-04,تیر 1399,سبدگردان مفید,مختلط,2969.0,0.092
ماهانه,1399-04,تیر 1399,سبدگردان مفید,کالایی (طلا و ...),2662.9,0.082
ماهانه,1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1104.4,0.034
ماهانه,1399-04,تیر 1399,مشاور سرمایه گذاری ترنج,سهامی,6809.8,0.211
ماهانه,1399-05,مرداد 1399,سایر مدیران,اختصاصی بازارگردانی,199864.3,6.035
ماهانه,1399-05,مرداد 1399,سایر مدیران,بازنشستگی تکمیلی,26947.7,0.814
ماهانه,1399-05,مرداد 1399,سایر مدیران,جسورانه,782.9,0.024
ماهانه,1399-05,مرداد 1399,سایر مدیران,خصوصی,502.0,0.015
ماهانه,1399-05,مرداد 1399,سایر مدیران,درآمد ثابت,2186788.1,66.03
ماهانه,1399-05,مرداد 1399,سایر مدیران,سهامی,299702.3,9.05
ماهانه,1399-05,مرداد 1399,سایر مدیران,سهامی - اهرمی,3406.1,0.103
ماهانه,1399-05,مرداد 1399,سایر مدیران,سهامی - بخشی,161282.7,4.87
ماهانه,1399-05,مرداد 1399,سایر مدیران,سهامی - شاخصی,8895.0,0.269
ماهانه,1399-05,مرداد 1399,سایر مدیران,صندوق در صندوق,786.1,0.024
ماهانه,1399-05,مرداد 1399,سایر مدیران,مختلط,35505.5,1.072
ماهانه,1399-05,مرداد 1399,سایر مدیران,پروژه‌ای,9952.8,0.3
ماهانه,1399-05,مرداد 1399,سایر مدیران,کالایی (طلا و ...),30505.4,0.921
ماهانه,1399-05,مرداد 1399,سبد گردان اقتصاد بیدار,سهامی,4324.4,0.131
ماهانه,1399-05,مرداد 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,2403.3,0.073
ماهانه,1399-05,مرداد 1399,سبد گردان کاریزما,درآمد ثابت,70200.2,2.12
ماهانه,1399-05,مرداد 1399,سبد گردان کاریزما,سهامی,10202.0,0.308
ماهانه,1399-05,مرداد 1399,سبد گردان کاریزما,سهامی - شاخصی,3441.0,0.104
ماهانه,1399-05,مرداد 1399,سبدگردان آگاه,اختصاصی بازارگردانی,2808.5,0.085
ماهانه,1399-05,مرداد 1399,سبدگردان آگاه,درآمد ثابت,5405.5,0.163
ماهانه,1399-05,مرداد 1399,سبدگردان آگاه,سهامی,27387.8,0.827
ماهانه,1399-05,مرداد 1399,سبدگردان آگاه,مختلط,161.0,0.005
ماهانه,1399-05,مرداد 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,23.8,0.001
ماهانه,1399-05,مرداد 1399,سبدگردان توسعه فیروزه,جسورانه,52.5,0.002
ماهانه,1399-05,مرداد 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1888.7,0.057
ماهانه,1399-05,مرداد 1399,سبدگردان توسعه فیروزه,سهامی,1747.4,0.053
ماهانه,1399-05,مرداد 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3577.7,0.108
ماهانه,1399-05,مرداد 1399,سبدگردان فارابی,اختصاصی بازارگردانی,788.6,0.024
ماهانه,1399-05,مرداد 1399,سبدگردان فارابی,درآمد ثابت,6974.4,0.211
ماهانه,1399-05,مرداد 1399,سبدگردان فارابی,سهامی,8199.5,0.248
ماهانه,1399-05,مرداد 1399,سبدگردان مفید,اختصاصی بازارگردانی,3068.6,0.093
ماهانه,1399-05,مرداد 1399,سبدگردان مفید,درآمد ثابت,89953.2,2.716
ماهانه,1399-05,مرداد 1399,سبدگردان مفید,سهامی,91926.0,2.776
ماهانه,1399-05,مرداد 1399,سبدگردان مفید,مختلط,2811.0,0.085
ماهانه,1399-05,مرداد 1399,سبدگردان مفید,کالایی (طلا و ...),2792.7,0.084
ماهانه,1399-05,مرداد 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1671.2,0.05
ماهانه,1399-05,مرداد 1399,مشاور سرمایه گذاری ترنج,سهامی,5053.7,0.153
ماهانه,1399-06,شهریور 1399,سایر مدیران,اختصاصی بازارگردانی,214038.8,6.31
ماهانه,1399-06,شهریور 1399,سایر مدیران,بازنشستگی تکمیلی,23401.0,0.69
ماهانه,1399-06,شهریور 1399,سایر مدیران,جسورانه,780.2,0.023
ماهانه,1399-06,شهریور 1399,سایر مدیران,خصوصی,501.7,0.015
ماهانه,1399-06,شهریور 1399,سایر مدیران,درآمد ثابت,2247431.6,66.253
ماهانه,1399-06,شهریور 1399,سایر مدیران,سهامی,234116.7,6.902
ماهانه,1399-06,شهریور 1399,سایر مدیران,سهامی - اهرمی,2860.4,0.084
ماهانه,1399-06,شهریور 1399,سایر مدیران,سهامی - بخشی,152457.0,4.494
ماهانه,1399-06,شهریور 1399,سایر مدیران,سهامی - شاخصی,8323.1,0.245
ماهانه,1399-06,شهریور 1399,سایر مدیران,صندوق در صندوق,763.6,0.022
ماهانه,1399-06,شهریور 1399,سایر مدیران,مختلط,27467.3,0.81
ماهانه,1399-06,شهریور 1399,سایر مدیران,پروژه‌ای,10358.4,0.305
ماهانه,1399-06,شهریور 1399,سایر مدیران,کالایی (طلا و ...),34733.7,1.024
ماهانه,1399-06,شهریور 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,245.6,0.007
ماهانه,1399-06,شهریور 1399,سبد گردان اقتصاد بیدار,سهامی,4350.3,0.128
ماهانه,1399-06,شهریور 1399,سبد گردان کاریزما,اختصاصی بازارگردانی,3640.3,0.107
ماهانه,1399-06,شهریور 1399,سبد گردان کاریزما,درآمد ثابت,81575.2,2.405
ماهانه,1399-06,شهریور 1399,سبد گردان کاریزما,سهامی,9336.9,0.275
ماهانه,1399-06,شهریور 1399,سبد گردان کاریزما,سهامی - شاخصی,3346.2,0.099
ماهانه,1399-06,شهریور 1399,سبدگردان آگاه,اختصاصی بازارگردانی,5606.5,0.165
ماهانه,1399-06,شهریور 1399,سبدگردان آگاه,درآمد ثابت,19951.2,0.588
ماهانه,1399-06,شهریور 1399,سبدگردان آگاه,سهامی,25599.2,0.755
ماهانه,1399-06,شهریور 1399,سبدگردان آگاه,مختلط,167.5,0.005
ماهانه,1399-06,شهریور 1399,سبدگردان توسعه فیروزه,اختصاصی بازارگردانی,20.9,0.001
ماهانه,1399-06,شهریور 1399,سبدگردان توسعه فیروزه,جسورانه,52.8,0.002
ماهانه,1399-06,شهریور 1399,سبدگردان توسعه فیروزه,درآمد ثابت,1936.8,0.057
ماهانه,1399-06,شهریور 1399,سبدگردان توسعه فیروزه,سهامی,1386.4,0.041
ماهانه,1399-06,شهریور 1399,سبدگردان توسعه فیروزه,سهامی - شاخصی,3844.5,0.113
ماهانه,1399-06,شهریور 1399,سبدگردان فارابی,اختصاصی بازارگردانی,702.0,0.021
ماهانه,1399-06,شهریور 1399,سبدگردان فارابی,درآمد ثابت,9532.0,0.281
ماهانه,1399-06,شهریور 1399,سبدگردان فارابی,سهامی,4872.9,0.144
ماهانه,1399-06,شهریور 1399,سبدگردان مفید,اختصاصی بازارگردانی,2990.3,0.088
ماهانه,1399-06,شهریور 1399,سبدگردان مفید,درآمد ثابت,160119.7,4.72
ماهانه,1399-06,شهریور 1399,سبدگردان مفید,سهامی,82581.4,2.434
ماهانه,1399-06,شهریور 1399,سبدگردان مفید,مختلط,3227.6,0.095
ماهانه,1399-06,شهریور 1399,سبدگردان مفید,کالایی (طلا و ...),3308.3,0.097
ماهانه,1399-06,شهریور 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,1300.3,0.038
ماهانه,1399-06,شهریور 1399,مشاور سرمایه گذاری ترنج,سهامی,5271.6,0.155
ماهانه,1399-07,مهر 1399,سایر مدیران,اختصاصی بازارگردانی,288086.6,8.504
ماهانه,1399-07,مهر 1399,سایر مدیران,بازنشستگی تکمیلی,19684.3,0.581
ماهانه,1399-07,مهر 1399,سایر مدیران,جسورانه,979.3,0.029
ماهانه,1399-07,مهر 1399,سایر مدیران,خصوصی,506.1,0.015
ماهانه,1399-07,مهر 1399,سایر مدیران,درآمد ثابت,2271955.0,67.062
ماهانه,1399-07,مهر 1399,سایر مدیران,سهامی,195022.8,5.756
ماهانه,1399-07,مهر 1399,سایر مدیران,سهامی - اهرمی,2380.5,0.07
ماهانه,1399-07,مهر 1399,سایر مدیران,سهامی - بخشی,144590.6,4.268
ماهانه,1399-07,مهر 1399,سایر مدیران,سهامی - شاخصی,6848.1,0.202
ماهانه,1399-07,مهر 1399,سایر مدیران,صندوق در صندوق,730.9,0.022
ماهانه,1399-07,مهر 1399,سایر مدیران,مختلط,23226.4,0.686
