دوره,عنوان دوره,مدیر,نوع صندوق,خالص ارزش دارایی (ریال),سهم از کل صنعت
1399-10,دی 1399,سبد گردان کاریزما,درآمد ثابت,92070366560917,0.027288
1399-10,دی 1399,سبد گردان کاریزما,سهامی,7623236791515,0.002259
1399-10,دی 1399,سبد گردان کاریزما,شاخصی,2031469552042,0.000602
1399-10,دی 1399,سبدگردان آگاه,درآمد ثابت,30334361591908,0.008991
1399-10,دی 1399,سبدگردان آگاه,سهامی,17875663877113,0.005298
1399-10,دی 1399,سبدگردان آگاه,مختلط,150310799427,4.5e-05
1399-10,دی 1399,سبدگردان توسعه فیروزه,جسورانه,53996535817,1.6e-05
1399-10,دی 1399,سبدگردان توسعه فیروزه,درآمد ثابت,2047750583942,0.000607
1399-10,دی 1399,سبدگردان توسعه فیروزه,سهامی,1322601709890,0.000392
1399-10,دی 1399,سبدگردان توسعه فیروزه,شاخصی,2272525160890,0.000674
1399-10,دی 1399,سبدگردان فارابی,درآمد ثابت,11620934632303,0.003444
1399-10,دی 1399,سبدگردان فارابی,سهامی,7790661932909,0.002309
1399-10,دی 1399,سبدگردان مفید,درآمد ثابت,141791726092499,0.042025
1399-10,دی 1399,سبدگردان مفید,سهامی,58380851821124,0.017303
1399-10,دی 1399,سبدگردان مفید,مختلط,2399057857903,0.000711
1399-10,دی 1399,سبدگردان مفید,کالایی,2131692526489,0.000632
1399-10,دی 1399,مشاور سرمایه گذاری ترنج,درآمد ثابت,2523277430647,0.000748
1399-10,دی 1399,مشاور سرمایه گذاری ترنج,سهامی,5251531133142,0.001556
1399-11,بهمن 1399,سایر مدیران,اهرمی,1729091050643,0.000485
1399-11,بهمن 1399,سایر مدیران,بازنشستگی,15057539880824,0.004227
1399-11,بهمن 1399,سایر مدیران,بخشی,214170234110481,0.060116
1399-11,بهمن 1399,سایر مدیران,جسورانه,1931640815072,0.000542
1399-11,بهمن 1399,سایر مدیران,خصوصی,504890146648,0.000142
1399-11,بهمن 1399,سایر مدیران,درآمد ثابت,2688082685195252,0.754528
1399-11,بهمن 1399,سایر مدیران,سهامی,164200662230340,0.04609
1399-11,بهمن 1399,سایر مدیران,شاخصی,5994544858368,0.001683
1399-11,بهمن 1399,سایر مدیران,صندوق در صندوق,751924933803,0.000211
1399-11,بهمن 1399,سایر مدیران,مختلط,17116733438923,0.004805
1399-11,بهمن 1399,سایر مدیران,پروژه‌ای,10357390577930,0.002907
1399-11,بهمن 1399,سایر مدیران,کالایی,29952824697040,0.008408
1399-11,بهمن 1399,سبد گردان اقتصاد بیدار,درآمد ثابت,436950619707,0.000123
1399-11,بهمن 1399,سبد گردان اقتصاد بیدار,سهامی,4143935267996,0.001163
1399-11,بهمن 1399,سبد گردان کاریزما,درآمد ثابت,99382989053968,0.027896
1399-11,بهمن 1399,سبد گردان کاریزما,سهامی,8116036538451,0.002278
1399-11,بهمن 1399,سبد گردان کاریزما,شاخصی,2202327773702,0.000618
1399-11,بهمن 1399,سبدگردان آگاه,درآمد ثابت,33807329961055,0.00949
1399-11,بهمن 1399,سبدگردان آگاه,سهامی,20030607802426,0.005622
1399-11,بهمن 1399,سبدگردان آگاه,مختلط,156170363663,4.4e-05
1399-11,بهمن 1399,سبدگردان توسعه فیروزه,جسورانه,54305154365,1.5e-05
1399-11,بهمن 1399,سبدگردان توسعه فیروزه,درآمد ثابت,2057435316251,0.000578
1399-11,بهمن 1399,سبدگردان توسعه فیروزه,سهامی,1417070349558,0.000398
1399-11,بهمن 1399,سبدگردان توسعه فیروزه,شاخصی,2504783561768,0.000703
1399-11,بهمن 1399,سبدگردان فارابی,درآمد ثابت,13425019354577,0.003768
1399-11,بهمن 1399,سبدگردان فارابی,سهامی,7864445792321,0.002208
1399-11,بهمن 1399,سبدگردان مفید,درآمد ثابت,137957463027403,0.038724
1399-11,بهمن 1399,سبدگردان مفید,سهامی,64392091865983,0.018074
1399-11,بهمن 1399,سبدگردان مفید,مختلط,2605167152976,0.000731
